step,loss_function,target_value,elapsed_time
1100,2.24894e-02,7.09745e-01,144
1200,2.21840e-02,5.71049e-01,144
1300,2.19394e-02,3.87637e-01,145
1400,2.17189e-02,4.51082e-01,146
1500,2.13842e-02,5.18677e-01,147
1600,2.10410e-02,5.60791e-01,148
1700,2.07600e-02,6.30997e-01,149
1800,2.04801e-02,5.69468e-01,150
1900,2.02040e-02,6.43139e-01,151
2000,1.99407e-02,5.00274e-01,152
0,1.87942e-01,-4.10002e+00,152
100,7.65137e-02,5.24623e-01,153
200,5.98719e-02,5.75461e-01,154
300,5.52398e-02,5.20070e-01,155
400,5.22019e-02,5.20976e-01,156
500,4.93562e-02,5.83083e-01,157
600,4.64144e-02,5.58965e-01,158
700,4.32179e-02,3.20106e-01,159
800,3.94111e-02,5.96896e-01,160
900,3.41099e-02,6.46657e-01,161
1000,2.59132e-02,6.26407e-01,162
1100,1.62895e-02,5.49687e-01,163
1200,1.19806e-02,5.83404e-01,164
1300,1.15927e-02,5.84706e-01,165
1400,1.13720e-02,6.02039e-01,166
1500,1.11500e-02,5.43876e-01,167
1600,1.09223e-02,6.35144e-01,168
1700,1.07095e-02,5.10601e-01,169
1800,1.05003e-02,6.26255e-01,170
1900,1.03022e-02,5.75758e-01,171
2000,1.01062e-02,5.53951e-01,172
0,2.84465e+00,1.48289e+00,172
100,1.55560e-02,5.26828e-01,173
200,1.46028e-02,4.80618e-01,174
300,1.42227e-02,6.71583e-01,175
400,1.38963e-02,5.81498e-01,176
500,1.36045e-02,7.78116e-01,177
600,1.32778e-02,7.29440e-01,178
700,1.29818e-02,7.61389e-01,179
800,1.26853e-02,5.57034e-01,180
900,1.23887e-02,5.87832e-01,181
1000,1.21024e-02,7.11788e-01,182
1100,1.18433e-02,7.22403e-01,183
1200,1.15636e-02,6.55243e-01,184
1300,1.12951e-02,5.85492e-01,185
1400,1.10548e-02,6.31243e-01,186
1500,1.07770e-02,3.96983e-01,187
1600,1.05171e-02,6.51413e-01,188
1700,1.02574e-02,6.47221e-01,189
1800,1.00151e-02,7.31172e-01,190
1900,9.72955e-03,7.04630e-01,191
2000,9.47357e-03,5.43055e-01,192
0,2.85974e+00,8.54740e-01,192
100,1.07742e-01,5.41439e-01,193
200,2.73958e-02,6.11336e-01,194
300,1.61906e-02,5.82559e-01,195
400,1.44746e-02,6.59331e-01,196
500,1.41252e-02,7.59259e-01,196
600,1.38502e-02,7.85538e-01,197
700,1.36665e-02,6.30810e-01,198
800,1.34109e-02,6.60022e-01,199
900,1.31748e-02,6.12760e-01,200
1000,1.29665e-02,7.57205e-01,201
1100,1.26946e-02,5.74737e-01,202
1200,1.24971e-02,5.37803e-01,203
1300,1.22354e-02,6.97831e-01,204
1400,1.20242e-02,6.28533e-01,205
1500,1.17804e-02,5.33043e-01,206
1600,1.15958e-02,7.90717e-01,207
1700,1.14140e-02,7.32579e-01,208
1800,1.12599e-02,7.60969e-01,209
1900,1.11013e-02,6.02808e-01,210
2000,1.09512e-02,7.09223e-01,211
0,2.83323e+00,4.88003e+00,211
100,1.02229e-02,7.57847e-01,212
200,7.52497e-03,7.14061e-01,213
300,7.57505e-03,7.04498e-01,214
400,6.68227e-03,7.62741e-01,215
500,6.45019e-03,6.76364e-01,216
600,6.25248e-03,5.00758e-01,217
700,6.08914e-03,6.03130e-01,218
800,6.03579e-03,6.16870e-01,219
900,5.64850e-03,6.77538e-01,220
1000,5.69120e-03,3.98532e-01,221
1100,5.27606e-03,4.92546e-01,222
1200,5.10543e-03,7.09392e-01,223
1300,4.97135e-03,7.19958e-01,224
1400,4.82672e-03,7.68600e-01,225
1500,4.59424e-03,8.22557e-01,226
1600,4.46081e-03,7.51498e-01,227
1700,4.38251e-03,6.47343e-01,228
1800,4.13292e-03,7.15868e-01,229
1900,4.22509e-03,6.57777e-01,230
2000,3.91784e-03,5.20164e-01,231
0,1.37058e-01,6.36490e-01,231
100,5.25809e-02,5.61211e-01,232
200,4.09759e-02,4.62851e-01,232
300,3.87331e-02,4.05508e-01,233
400,3.76116e-02,5.43802e-01,234
500,3.66603e-02,5.04591e-01,235
600,3.57465e-02,3.36210e-01,236
700,3.48378e-02,4.63913e-01,237
800,3.39962e-02,2.61292e-01,238
900,3.31851e-02,4.99436e-01,239
1000,3.24075e-02,4.89510e-01,240
1100,3.16521e-02,4.82873e-01,241
1200,3.09295e-02,4.67146e-01,242
1300,3.02190e-02,5.42255e-01,243
1400,2.95373e-02,5.35228e-01,244
1500,2.88913e-02,5.18725e-01,245
1600,2.82428e-02,6.04335e-01,246
1700,2.76119e-02,4.40630e-01,247
1800,2.69963e-02,6.73559e-01,248
1900,2.64045e-02,4.14074e-01,249
2000,2.58276e-02,6.03895e-01,250
0,1.04734e-01,-3.71159e+00,250
100,2.86333e-02,7.07239e-01,251
200,1.55511e-02,2.32377e-01,252
300,1.31095e-02,3.25740e-01,253
400,1.22182e-02,4.32698e-01,254
500,1.16415e-02,5.28535e-01,255
600,1.12081e-02,4.04982e-01,256
700,1.08140e-02,6.22497e-01,257
800,1.04838e-02,4.58091e-01,258
900,1.01649e-02,3.85816e-01,259
1000,9.88595e-03,5.54727e-01,260
1100,9.61810e-03,3.42444e-01,261
1200,9.35722e-03,5.78833e-01,262
1300,9.15260e-03,4.14209e-01,263
1400,8.93344e-03,5.98431e-01,264
1500,8.72934e-03,5.90702e-01,265
1600,8.53665e-03,4.92674e-01,266
1700,8.36605e-03,5.46036e-01,267
1800,8.18739e-03,5.14700e-01,268
1900,8.02302e-03,5.23800e-01,269
2000,7.86622e-03,5.17386e-01,270
0,2.95489e+00,-4.47311e-01,270
100,1.30606e-02,7.76851e-01,271
200,9.97161e-03,5.68819e-01,272
300,9.83444e-03,3.92563e-01,273
400,9.24786e-03,5.65563e-01,274
500,9.13758e-03,4.93941e-01,274
600,9.76959e-03,2.42417e-01,275
700,9.58041e-03,5.07390e-01,276
800,8.98822e-03,3.82386e-01,278
900,8.37331e-03,5.17992e-01,279
1000,8.42402e-03,3.81895e-01,280
1100,8.34344e-03,5.40728e-01,281
1200,8.00993e-03,5.36703e-01,282
1300,7.91085e-03,5.11576e-01,283
1400,7.80732e-03,3.90487e-01,284
1500,7.53692e-03,5.60986e-01,285
1600,7.22260e-03,5.05726e-01,286
1700,7.34937e-03,2.69180e-01,287
1800,7.34417e-03,4.51548e-01,288
1900,6.88142e-03,3.04431e-01,289
2000,6.49169e-03,6.18999e-01,290
0,2.92280e+00,4.88410e+00,290
100,3.94190e-01,7.26520e-02,291
200,5.79753e-02,3.65361e-01,292
300,1.29594e-02,3.92952e-01,293
400,6.34718e-03,5.39169e-01,294
500,4.80319e-03,5.19756e-01,295
600,4.36849e-03,4.24330e-01,296
700,4.33643e-03,5.28425e-01,297
800,4.36513e-03,4.66158e-01,298
900,4.36379e-03,5.32342e-01,299
1000,4.29134e-03,5.55858e-01,300
1100,4.23993e-03,4.65484e-01,301
1200,4.19460e-03,5.07552e-01,302
1300,4.12955e-03,6.06917e-01,303
1400,4.01944e-03,6.05233e-01,304
1500,3.93180e-03,4.20081e-01,305
1600,3.83987e-03,5.87351e-01,306
1700,3.78705e-03,3.59819e-01,307
1800,3.74509e-03,4.97607e-01,307
1900,3.69054e-03,5.56026e-01,308
2000,3.61366e-03,4.63103e-01,309
0,2.96777e+00,-2.34708e+00,309
100,4.10605e-01,7.72200e-02,310
200,6.18065e-02,3.60304e-01,311
300,1.33000e-02,4.95120e-01,312
400,6.76937e-03,5.47410e-01,313
500,5.81009e-03,3.66608e-01,314
600,5.60451e-03,4.64337e-01,315
700,5.50966e-03,4.90097e-01,316
800,5.40798e-03,4.15865e-01,317
900,5.31008e-03,5.45911e-01,318
1000,5.22356e-03,4.62092e-01,319
1100,5.13605e-03,5.20498e-01,320
1200,5.04967e-03,3.99145e-01,321
1300,4.97014e-03,5.45856e-01,322
1400,4.88663e-03,4.54636e-01,323
1500,4.80551e-03,4.60225e-01,324
1600,4.71748e-03,5.21960e-01,325
1700,4.64067e-03,5.51998e-01,326
1800,4.55965e-03,3.41633e-01,327
1900,4.47656e-03,6.75809e-01,328
2000,4.41145e-03,4.96708e-01,329
0,8.48161e-02,-5.70244e+00,329
100,2.06053e-02,5.18630e-01,330
200,1.19670e-02,5.09238e-01,331
300,1.07963e-02,5.44386e-01,332
400,1.04445e-02,5.62285e-01,333
500,1.03445e-02,4.63444e-01,334
600,1.02056e-02,5.49665e-01,335
700,1.00020e-02,4.57618e-01,336
800,9.85079e-03,4.99260e-01,337
900,9.71345e-03,3.59154e-01,338
1000,9.56284e-03,6.54896e-01,339
1100,9.44131e-03,4.00421e-01,340
1200,9.30599e-03,5.13452e-01,341
1300,9.15892e-03,6.45697e-01,342
1400,9.04998e-03,4.58925e-01,343
1500,8.92113e-03,5.03094e-01,344
1600,8.81624e-03,5.80399e-01,345
1700,8.67629e-03,5.76341e-01,346
1800,8.56037e-03,4.83239e-01,347
1900,8.41013e-03,6.19751e-01,348
2000,8.30747e-03,4.41293e-01,349
0,8.25935e-02,2.20304e+00,349
100,1.89018e-02,4.61676e-01,350
200,1.13267e-02,5.68565e-01,351
300,1.03516e-02,4.27548e-01,351
400,1.01187e-02,4.37632e-01,352
500,9.97525e-03,5.04390e-01,353
600,9.80255e-03,4.62010e-01,354
700,9.62318e-03,4.99318e-01,355
800,9.43425e-03,5.65605e-01,356
900,9.27331e-03,5.91885e-01,357
1000,9.10550e-03,5.98019e-01,358
1100,8.93557e-03,4.34525e-01,359
1200,8.78433e-03,2.91986e-01,360
1300,8.62547e-03,2.87167e-01,361
1400,8.45220e-03,4.79686e-01,362
1500,8.28693e-03,5.51088e-01,363
1600,8.13286e-03,3.83615e-01,364
1700,7.99868e-03,5.46047e-01,365
1800,7.81604e-03,4.48975e-01,366
1900,7.66881e-03,5.72556e-01,367
2000,7.52758e-03,5.99196e-01,368
0,3.04771e+00,5.74900e+00,368
100,4.14946e-01,8.68975e-02,369
200,6.46021e-02,3.24066e-01,370
300,1.76898e-02,5.00324e-01,371
400,1.13327e-02,3.79352e-01,372
500,1.03782e-02,4.17908e-01,373
600,1.00687e-02,5.04302e-01,374
700,9.86694e-03,3.16637e-01,375
800,9.67596e-03,5.48520e-01,376
900,9.48577e-03,4.13469e-01,377
1000,9.29788e-03,5.37004e-01,378
