step,loss_function,target_value,elapsed_time
400,5.65854e-01,-9.15152e+00,387
500,5.50596e-01,-9.65091e+00,389
600,5.47863e-01,-9.28457e+00,392
700,5.54658e-01,-1.07115e+01,395
800,5.41275e-01,-9.62381e+00,397
900,5.45941e-01,-8.93093e+00,400
1000,5.39347e-01,-8.99618e+00,403
1100,5.09707e-01,-9.69822e+00,405
1200,5.15763e-01,-9.87649e+00,408
1300,5.10837e-01,-1.05126e+01,411
1400,5.01685e-01,-9.56790e+00,413
1500,4.98214e-01,-1.08615e+01,416
1600,5.06169e-01,-9.42799e+00,419
1700,4.96432e-01,-9.82937e+00,422
1800,4.96292e-01,-1.06572e+01,424
1900,5.03640e-01,-1.00969e+01,427
2000,4.96327e-01,-1.00555e+01,430
0,3.80468e+00,-1.00144e+01,430
100,6.29936e-01,-9.52382e+00,433
200,6.22623e-01,-9.75147e+00,435
300,5.90948e-01,-1.03662e+01,438
400,5.88200e-01,-1.00917e+01,441
500,5.83407e-01,-1.04432e+01,444
600,5.66898e-01,-9.74099e+00,446
700,5.81056e-01,-1.09134e+01,449
800,5.56003e-01,-1.06931e+01,452
900,5.60340e-01,-1.03361e+01,454
1000,5.53353e-01,-1.03689e+01,457
1100,5.31681e-01,-1.00235e+01,460
1200,5.26954e-01,-1.07084e+01,463
1300,5.40280e-01,-1.07759e+01,465
1400,5.26224e-01,-1.14203e+01,468
1500,5.24713e-01,-1.02728e+01,471
1600,5.30985e-01,-1.18213e+01,473
1700,5.27666e-01,-1.15195e+01,476
1800,5.15843e-01,-1.18191e+01,479
1900,5.18365e-01,-1.11119e+01,482
2000,5.08482e-01,-1.05067e+01,485
0,3.62306e+00,-1.14217e+01,485
100,6.03189e-01,-1.12138e+01,487
200,5.88633e-01,-1.07196e+01,490
300,5.69543e-01,-1.11062e+01,493
400,5.51025e-01,-1.12217e+01,496
500,5.53713e-01,-1.09767e+01,498
600,5.35401e-01,-1.12148e+01,501
700,5.42786e-01,-1.20332e+01,504
800,5.16661e-01,-1.16089e+01,507
900,5.11271e-01,-1.11784e+01,509
1000,5.24498e-01,-1.20455e+01,512
1100,4.99169e-01,-1.14082e+01,515
1200,5.01872e-01,-1.22640e+01,517
1300,4.92434e-01,-1.13973e+01,520
1400,4.89735e-01,-1.14038e+01,523
1500,4.93718e-01,-1.24568e+01,526
1600,4.72398e-01,-1.24448e+01,528
1700,4.84638e-01,-1.19773e+01,531
1800,4.78871e-01,-1.18319e+01,534
1900,4.77895e-01,-1.19105e+01,537
2000,4.87610e-01,-1.19273e+01,539
0,3.38612e+00,-1.19614e+01,539
100,4.83994e-01,-1.15349e+01,542
200,4.80196e-01,-1.27748e+01,545
300,4.69687e-01,-1.22802e+01,548
400,4.69195e-01,-1.31125e+01,550
500,4.49875e-01,-1.23287e+01,553
600,4.55782e-01,-1.18884e+01,556
700,4.30146e-01,-1.15965e+01,559
800,4.29180e-01,-1.31878e+01,562
900,4.23389e-01,-1.22729e+01,564
1000,4.07058e-01,-1.33857e+01,567
1100,4.22245e-01,-1.23404e+01,570
1200,4.14933e-01,-1.29296e+01,572
1300,4.19602e-01,-1.36510e+01,575
1400,4.09844e-01,-1.34188e+01,578
1500,3.97365e-01,-1.24818e+01,580
1600,4.05104e-01,-1.32879e+01,583
1700,4.02124e-01,-1.22008e+01,586
1800,3.92169e-01,-1.34324e+01,588
1900,3.95468e-01,-1.26897e+01,591
2000,3.98423e-01,-1.24810e+01,594
0,3.65126e+00,-1.34597e+01,594
100,5.71231e-01,-1.29108e+01,597
200,5.59712e-01,-1.33319e+01,599
300,5.42592e-01,-1.30866e+01,602
400,5.34081e-01,-1.30477e+01,605
500,5.29612e-01,-1.32957e+01,607
600,5.12271e-01,-1.37091e+01,610
700,5.18247e-01,-1.35227e+01,613
800,5.06012e-01,-1.35408e+01,616
900,5.02581e-01,-1.38824e+01,618
1000,4.95604e-01,-1.43609e+01,621
1100,4.86578e-01,-1.37972e+01,624
1200,4.92176e-01,-1.37206e+01,627
1300,4.82058e-01,-1.34290e+01,629
1400,4.79436e-01,-1.35933e+01,632
1500,4.78350e-01,-1.33467e+01,635
1600,4.88899e-01,-1.40967e+01,638
1700,4.80710e-01,-1.41906e+01,640
1800,4.66544e-01,-1.40788e+01,643
