step,loss_function,target_value,elapsed_time
15100,4.26808e-03,5.79969e-01,108
15200,5.75763e-03,5.54569e-01,109
15300,3.95446e-03,5.24406e-01,109
15400,4.38564e-03,5.27847e-01,110
15500,3.77837e-03,5.81186e-01,111
15600,5.22970e-03,4.74411e-01,111
15700,3.92896e-03,4.98375e-01,112
15800,4.34715e-03,6.52708e-01,113
15900,3.98981e-03,5.89324e-01,114
16000,4.74905e-03,6.18876e-01,114
16100,3.54954e-03,5.49306e-01,115
16200,3.39154e-03,6.14662e-01,116
16300,4.07122e-03,5.37935e-01,117
16400,3.70232e-03,5.56762e-01,117
16500,4.40606e-03,4.83907e-01,118
16600,3.24012e-03,4.96204e-01,119
16700,3.31804e-03,5.74077e-01,119
16800,4.71497e-03,6.77011e-01,120
16900,3.58792e-03,5.47446e-01,121
17000,3.50494e-03,6.22162e-01,121
17100,3.39350e-03,5.39184e-01,122
17200,3.55765e-03,5.35034e-01,123
17300,4.09336e-03,6.75511e-01,124
17400,3.81283e-03,5.40562e-01,124
17500,3.52107e-03,4.80236e-01,125
17600,3.67127e-03,5.77746e-01,126
17700,3.09698e-03,6.25321e-01,126
17800,4.39403e-03,5.06499e-01,127
17900,6.49269e-03,4.17255e-01,128
18000,4.33998e-03,4.62386e-01,129
18100,3.13421e-03,5.67113e-01,129
18200,3.66804e-03,4.78825e-01,130
18300,3.26574e-03,4.84575e-01,131
18400,3.38383e-03,5.99238e-01,132
18500,4.01697e-03,4.51171e-01,132
18600,3.46716e-03,6.60666e-01,133
18700,3.73322e-03,5.43222e-01,134
18800,3.52718e-03,6.44094e-01,134
18900,3.99783e-03,5.38040e-01,135
19000,5.65245e-03,6.30140e-01,136
19100,3.71561e-03,6.55344e-01,137
19200,3.77442e-03,5.83052e-01,137
19300,3.77920e-03,5.56038e-01,138
19400,4.19475e-03,4.19182e-01,139
19500,4.10023e-03,4.62735e-01,139
19600,3.61077e-03,4.46225e-01,140
19700,2.91841e-03,5.65643e-01,141
19800,3.12903e-03,5.64114e-01,142
19900,3.23472e-03,4.73650e-01,142
0,7.36458e-04,5.39092e-01,143
100,5.14010e-04,4.91673e-01,144
200,4.58236e-04,5.08357e-01,145
300,4.58008e-04,4.09451e-01,145
400,4.81046e-04,6.34628e-01,146
500,4.49312e-04,5.74026e-01,147
600,4.60830e-04,4.44224e-01,148
700,4.38547e-04,5.77831e-01,148
800,4.52217e-04,5.01577e-01,149
900,4.58288e-04,4.75282e-01,150
1000,4.48014e-04,6.28677e-01,151
0,1.00114e-03,4.90716e-01,151
100,7.58819e-04,6.50566e-01,152
200,7.19539e-04,2.39096e-01,152
300,7.61133e-04,5.62521e-01,153
400,7.46629e-04,4.27554e-01,154
500,7.30258e-04,3.85442e-01,155
600,7.51476e-04,4.87834e-01,155
700,7.91918e-04,4.11223e-01,156
800,7.62915e-04,4.08616e-01,157
900,7.36356e-04,4.14202e-01,158
1000,7.57280e-04,5.33010e-01,158
0,1.25400e-03,7.01598e-01,158
100,8.95280e-04,5.99324e-01,159
200,8.40065e-04,7.15351e-01,160
300,8.55444e-04,6.26252e-01,161
400,7.88716e-04,4.82411e-01,162
500,8.24677e-04,5.24385e-01,162
600,7.83022e-04,5.64271e-01,163
700,7.83837e-04,5.29335e-01,164
800,8.14668e-04,6.36687e-01,165
900,8.01981e-04,5.77150e-01,166
1000,7.89648e-04,5.87361e-01,166
0,1.02562e-03,2.78779e-01,166
100,8.16011e-04,5.04733e-01,167
200,8.09430e-04,4.59432e-01,168
300,7.58317e-04,6.67947e-01,169
400,8.72633e-04,5.70182e-01,169
500,7.60733e-04,6.98631e-01,170
600,7.57201e-04,6.99018e-01,171
700,7.72618e-04,7.43594e-01,172
800,7.90559e-04,6.24825e-01,173
900,8.05889e-04,4.58588e-01,173
1000,7.78002e-04,5.65468e-01,174
0,8.28995e-04,6.79293e-01,174
100,6.80834e-04,6.26747e-01,175
200,6.64293e-04,5.33988e-01,176
300,6.89783e-04,5.77301e-01,177
400,6.46464e-04,5.77528e-01,177
500,6.44085e-04,5.23310e-01,178
600,6.58193e-04,5.85357e-01,179
700,6.71828e-04,6.77741e-01,180
800,6.47502e-04,6.71573e-01,180
900,6.47710e-04,6.00201e-01,181
1000,6.61918e-04,8.02904e-01,182
0,7.78142e-04,5.31526e-01,182
100,6.16925e-04,5.72676e-01,183
200,6.22146e-04,3.74336e-01,183
300,6.01325e-04,6.23293e-01,184
400,6.18661e-04,6.47800e-01,185
500,5.98552e-04,5.62823e-01,186
600,6.21974e-04,6.92517e-01,186
700,6.01842e-04,4.38124e-01,187
800,5.99338e-04,7.00891e-01,188
900,5.91218e-04,6.14143e-01,189
1000,6.05578e-04,7.34280e-01,189
